Tetris,1
Super Mario 64,2
The Legend of Zelda: Ocarina of Time,3
Doom,4
Ms,5
Minecraft,6
The Legend of Zelda,7
Super Mario Bros,8
Oregon Trail,9
Blizzard,10
MobyGames,11
MobyGames,12
Sim City 2000,13
Quake,14
Counter Strike,15
Grand Theft Auto 3,16
Half Life 2,17
Rise of the Tomb Raider,18
Space Invaders,19
Zork,20
Diablo II,21
GoldenEye 007,22
Microsoft Flight Simulator X,23
Final Fantasy VII,24
Halo: Combat Evolved,25
StarCraft II: Wings of Liberty,26
Mortal Kombat,27
Donkey Kong,28
Myst,29
Pokemon Red & Blue,30
The Sims,31
Wolfenstein 3D,32
Super Mario Kart,33
Red Dead Redemption,34
Galaga,35
Fallout 3,36
Braid,37
Portal 2,38
Castlevania,39
Pong,40
ESPN NFL 2K5,41
BioShock,42
Call of Duty 2,43
Super Smash Bros,44
Gran Turismo 3,45
Resident Evil 4,46
Guitar Hero,47
Rovio,48
Dota 2,49
King's Quest III: To Heir Is Human,50
